"","Country","Region","Province","Max_reporting","Date","Nr_reporting","Category","Count","Full_reporting","Population","Count_per_1M"
"51","Belgium","All","All",106,2020-03-19,106,"TOTAL_IN_ECMO_CHG",0,TRUE,11000638,0
"52","Belgium","All","All",106,2020-03-19,106,"TOTAL_IN_ICU",165,TRUE,11000638,14.9991300504571
"53","Belgium","All","All",106,2020-03-19,106,"TOTAL_IN_ICU_CHG",34,TRUE,11000638,3.09072982857903
"54","Belgium","All","All",106,2020-03-19,106,"TOTAL_IN_RESP",115,TRUE,11000638,10.4539391260761
"55","Belgium","All","All",106,2020-03-19,106,"TOTAL_IN_RESP_CHG",27,TRUE,11000638,2.4544030991657
"56","Belgium","All","All",106,2020-03-20,105,"NEW_DELTA",233,FALSE,11000638,21.1805897076151
"57","Belgium","All","All",106,2020-03-20,105,"NEW_IN",288,FALSE,11000638,26.1802997244342
"58","Belgium","All","All",106,2020-03-20,105,"NEW_OUT",55,FALSE,11000638,4.99971001681902
"59","Belgium","All","All",106,2020-03-20,105,"TOTAL_IN",1101,FALSE,11000638,100.085104154868
"60","Belgium","All","All",106,2020-03-20,105,"TOTAL_IN_CHG",257,FALSE,11000638,23.362281351318
"61","Belgium","All","All",106,2020-03-20,105,"TOTAL_IN_ECMO",7,FALSE,11000638,0.63632672941333
"62","Belgium","All","All",106,2020-03-20,105,"TOTAL_IN_ECMO_CHG",3,FALSE,11000638,0.272711455462856
"63","Belgium","All","All",106,2020-03-20,105,"TOTAL_IN_ICU",228,FALSE,11000638,20.726070615177
"64","Belgium","All","All",106,2020-03-20,105,"TOTAL_IN_ICU_CHG",63,FALSE,11000638,5.72694056471997
"65","Belgium","All","All",106,2020-03-20,105,"TOTAL_IN_RESP",168,FALSE,11000638,15.2718415059199
"66","Belgium","All","All",106,2020-03-20,105,"TOTAL_IN_RESP_CHG",53,FALSE,11000638,4.81790237984379
"67","Belgium","All","All",106,2020-03-21,106,"NEW_DELTA",246,TRUE,11000638,22.3623393479542
"68","Belgium","All","All",106,2020-03-21,106,"NEW_IN",320,TRUE,11000638,29.089221916038
"69","Belgium","All","All",106,2020-03-21,106,"NEW_OUT",74,TRUE,11000638,6.72688256808378
"70","Belgium","All","All",106,2020-03-21,106,"TOTAL_IN",1384,TRUE,11000638,125.810884786864
"71","Belgium","All","All",106,2020-03-21,106,"TOTAL_IN_CHG",283,TRUE,11000638,25.7257806319961
"72","Belgium","All","All",106,2020-03-21,106,"TOTAL_IN_ECMO",6,TRUE,11000638,0.545422910925712
"73","Belgium","All","All",106,2020-03-21,106,"TOTAL_IN_ECMO_CHG",-1,TRUE,11000638,-0.0909038184876186
"74","Belgium","All","All",106,2020-03-21,106,"TOTAL_IN_ICU",290,TRUE,11000638,26.3621073614094
"75","Belgium","All","All",106,2020-03-21,106,"TOTAL_IN_ICU_CHG",62,TRUE,11000638,5.63603674623235
"76","Belgium","All","All",106,2020-03-21,106,"TOTAL_IN_RESP",200,TRUE,11000638,18.1807636975237
"77","Belgium","All","All",106,2020-03-21,106,"TOTAL_IN_RESP_CHG",32,TRUE,11000638,2.9089221916038
"78","Belgium","All","All",106,2020-03-22,105,"NEW_DELTA",212,FALSE,11000638,19.2716095193752
"79","Belgium","All","All",106,2020-03-22,105,"NEW_IN",273,FALSE,11000638,24.8167424471199
"80","Belgium","All","All",106,2020-03-22,105,"NEW_OUT",61,FALSE,11000638,5.54513292774474
"81","Belgium","All","All",106,2020-03-22,105,"TOTAL_IN",1646,FALSE,11000638,149.62768523062
"82","Belgium","All","All",106,2020-03-22,105,"TOTAL_IN_CHG",262,FALSE,11000638,23.8168004437561
"83","Belgium","All","All",106,2020-03-22,105,"TOTAL_IN_ECMO",8,FALSE,11000638,0.727230547900949
"84","Belgium","All","All",106,2020-03-22,105,"TOTAL_IN_ECMO_CHG",2,FALSE,11000638,0.181807636975237
"85","Belgium","All","All",106,2020-03-22,105,"TOTAL_IN_ICU",322,FALSE,11000638,29.2710295530132
"86","Belgium","All","All",106,2020-03-22,105,"TOTAL_IN_ICU_CHG",32,FALSE,11000638,2.9089221916038
"87","Belgium","All","All",106,2020-03-22,105,"TOTAL_IN_RESP",239,FALSE,11000638,21.7260126185409
"88","Belgium","All","All",106,2020-03-22,105,"TOTAL_IN_RESP_CHG",39,FALSE,11000638,3.54524892101713
"89","Belgium","All","All",106,2020-03-23,106,"NEW_DELTA",197,TRUE,11000638,17.9080522420609
"90","Belgium","All","All",106,2020-03-23,106,"NEW_IN",257,TRUE,11000638,23.362281351318
"91","Belgium","All","All",106,2020-03-23,106,"NEW_OUT",60,TRUE,11000638,5.45422910925712
"92","Belgium","All","All",106,2020-03-23,106,"TOTAL_IN",1883,TRUE,11000638,171.171890212186
